"Station Name","CROSS CONSERVATION AREA"
"Province","ALBERTA"
"Latitude","50.79"
"Longitude","-114.21"
"Elevation","1264.00"
"Climate Identifier","303S001"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1996-07","1996","07","22.1","E","8.7","E","15.4","E","29.0","","4.5","","38.8","","0.0","","38.8","","0","",,"",,""
"1996-08","1996","08","25.1","I","9.4","I","17.4","I","30.5","I","1.5","I","28.1","","0.0","","28.1","","0","",,"",,""
