"Station Name","OLD CROW RCS"
"Province","YUKON TERRITORY"
"Latitude","67.57"
"Longitude","-139.84"
"Elevation","251.20"
"Climate Identifier","2100805"
"WMO Identifier","71044"
"TC Identifier","ZOC"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-03","2006","03","-15.9","I","-31.5","I","-23.8","I","-12.5","I","-38.4","I","","","","","0.6","I","3","",,"",,""
"2006-04","2006","04","-5.8","","-17.4","","-11.6","","6.9","","-28.9","","","","","","10.5","","3","",,"",,""
"2006-05","2006","05","10.0","","-1.4","","4.3","","18.3","","-13.5","","","","","","12.3","","2","",,"",,""
"2006-06","2006","06","19.3","","8.1","","13.7","","25.4","","-2.2","","","","","","20.9","","0","",,"",,""
"2006-07","2006","07","19.8","E","8.7","E","14.3","E","28.2","E","2.2","E","","","","","37.6","","","",,"",,""
"2006-08","2006","08","16.0","","6.3","","11.2","","24.1","","0.2","","","","","","86.2","","","",,"",,""
"2006-09","2006","09","12.2","","2.1","","7.2","","19.4","","-1.5","S","","","","","28.4","","","",,"",,""
"2006-10","2006","10","-0.8","","-6.4","","-3.6","","7.6","","-13.9","","","","","","26.2","","","M",,"",,""
"2006-11","2006","11","-22.6","","-29.7","","-26.2","","-9.7","","-39.2","","","","","","26.5","E","6","",,"",,""
"2006-12","2006","12","-15.7","","-26.2","","-21.0","","-7.1","","-35.4","","","","","","19.4","","","",,"",,""
"2007-01","2007","01","-20.6","","-28.5","","-24.6","","-7.8","","-44.3","","","","","","17.3","","","",,"",,""
"2007-02","2007","02","-25.7","","-36.1","","-30.9","","-8.0","","-47.9","S","","","","","0.3","","","",,"",,""
