"Station Name","SHONTS AGCM"
"Province","ALBERTA"
"Latitude","53.33"
"Longitude","-112.54"
"Elevation","679.00"
"Climate Identifier","3015900"
"WMO Identifier","71405"
"TC Identifier","PSH"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-09","2007","09","17.0","","1.7","","9.4","","25.3","","-6.6","","","","","","27.0","","0","",,"",,""
"2007-10","2007","10","12.7","E","-2.9","E","4.9","E","24.6","E","-10.3","E","","","","","2.2","I","","",,"",,""
"2007-11","2007","11","0.5","","-10.1","","-4.8","","9.2","","-25.6","","","","","","5.5","","","",,"",,""
