"Station Name","WHITE LAKE FISH CULTURE STATION"
"Province","ONTARIO"
"Latitude","44.77"
"Longitude","-75.75"
"Elevation","204.00"
"Climate Identifier","6109503"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2005-06","2005","06","","","","","","","","","","","80.6","E","0.0","","80.6","E","0","",,"",,""
"2005-07","2005","07","","","","","","","","","","","17.3","I","0.0","","17.3","I","0","",,"",,""
"2005-08","2005","08","","","","","","","","","","","77.8","E","0.0","","77.8","E","0","",,"",,""
"2005-09","2005","09","","","","","","","","","","","113.0","I","0.0","","113.0","I","0","",,"",,""
