"Station Name","TORONTO CITY CENTRE"
"Province","ONTARIO"
"Latitude","43.63"
"Longitude","-79.40"
"Elevation","76.80"
"Climate Identifier","6158667"
"WMO Identifier","71265"
"TC Identifier","YTZ"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-04","2006","04","11.6","","3.8","","7.7","","18.9","","-3.0","","","","","","40.0","","0","",,"",,""
"2006-05","2006","05","17.4","","9.1","","13.3","","30.7","","2.6","","","","","","54.0","I","0","",,"",,""
"2006-06","2006","06","22.7","E","14.4","","18.6","E","30.5","","9.0","","","","","","65.0","","0","",,"",,""
"2006-07","2006","07","25.8","","17.5","","21.6","","31.8","","12.7","","","","","","126.5","","0","",,"",,""
"2006-08","2006","08","24.4","","16.6","","20.6","","30.6","","12.3","","","","","","25.0","","0","",,"",,""
"2006-09","2006","09","19.3","","12.9","","16.1","","24.4","","5.8","","","","","","78.0","","0","",,"",,""
"2006-10","2006","10","12.6","","5.8","","9.2","","21.2","","1.0","","","","","","133.0","","0","",,"",,""
"2006-11","2006","11","8.4","","2.8","","5.6","","15.2","","-1.3","","","","","","65.0","","0","",,"",,""
"2006-12","2006","12","5.3","","0.2","","2.8","","13.2","","-10.8","","","","","","64.5","","0","",,"",,""
