"Station Name","PETERBOROUGH TRENT U"
"Province","ONTARIO"
"Latitude","44.35"
"Longitude","-78.30"
"Elevation","216.00"
"Climate Identifier","6166456"
"WMO Identifier","71672"
"TC Identifier","TPQ"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-04","2006","04","13.9","","0.0","","7.0","","24.1","","-6.9","","","","","","49.4","","0","",,"",,""
"2006-05","2006","05","19.7","","6.5","","13.1","","33.1","","-3.0","","","","","","87.8","","0","",,"",,""
"2006-06","2006","06","23.8","E","11.7","","17.8","E","32.1","","7.2","","","","","","99.5","","0","",,"",,""
"2006-07","2006","07","27.5","","14.4","","21.0","","32.8","","9.0","","","","","","88.5","","0","",,"",,""
"2006-08","2006","08","26.1","","12.0","","19.1","","36.4","","4.0","","","","","","45.1","E","0","",,"",,""
"2006-09","2006","09","19.3","","7.7","","13.5","","26.6","","-0.1","","","","","","86.2","","0","",,"",,""
"2006-10","2006","10","12.7","","1.8","","7.2","","23.9","","-4.9","","","","","","134.6","","0","",,"",,""
"2006-11","2006","11","8.5","","-0.3","","4.1","","14.4","","-7.1","","","","","","61.9","I","0","",,"",,""
"2006-12","2006","12","3.7","","-4.6","","-0.5","","10.8","","-15.6","","","","","","26.4","I","","M",,"",,""
