"Station Name","FORT MACLEOD AGCM"
"Province","ALBERTA"
"Latitude","49.79"
"Longitude","-113.38"
"Elevation","978.00"
"Climate Identifier","3032683"
"WMO Identifier","71789"
"TC Identifier","PFM"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-09","2007","09","19.7","","3.2","","11.5","","30.4","","-2.9","","","","","","43.5","","0","",,"",,""
"2007-10","2007","10","14.2","","0.7","","7.5","","23.0","","-9.7","","","","","","6.4","","","",,"",,""
"2007-11","2007","11","5.5","","-7.8","","-1.1","","15.1","","-26.1","","","","","","7.4","","","",,"",,""
