"Station Name","BACCARO PT"
"Province","NOVA SCOTIA"
"Latitude","43.45"
"Longitude","-65.47"
"Elevation","4.60"
"Climate Identifier","8200255"
"WMO Identifier","71920"
"TC Identifier","ACP"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-06","2007","06","14.5","","9.2","","11.9","","23.7","","6.1","","","","","","62.5","E","0","",,"",,""
"2007-07","2007","07","15.6","","10.5","","13.1","","20.0","","8.1","","","","","","119.8","","0","",,"",,""
