"Station Name","BLENHEIM 1"
"Province","ONTARIO"
"Latitude","42.31"
"Longitude","-82.03"
"Elevation","200.00"
"Climate Identifier","6130815"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-05","2006","05","20.5","I","10.4","I","15.5","I","32.0","I","2.0","I","67.9","I","0.0","","67.9","I","0","",,"",,""
"2006-06","2006","06","23.9","","12.9","E","18.4","E","29.5","","5.0","","58.6","","0.0","","58.6","","0","",,"",,""
"2006-07","2006","07","28.5","E","17.7","E","23.2","E","34.0","","10.0","S","66.0","I","0.0","","66.0","I","0","",,"",,""
"2006-08","2006","08","26.3","","16.1","","21.2","","33.0","S","9.5","S","52.1","","0.0","","52.1","","0","",,"",,""
"2006-09","2006","09","20.6","E","12.1","E","16.4","E","26.0","","3.5","","83.7","I","0.0","","83.7","I","0","",,"",,""
"2006-10","2006","10","13.5","","5.5","E","9.5","E","23.0","S","-1.0","S","118.9","","0.0","T","118.9","","0","",,"",,""
"2006-11","2006","11","9.3","","2.6","E","6.0","E","16.0","","-5.5","","80.6","","0.6","","81.2","","0","",,"",,""
"2006-12","2006","12","5.5","","-0.1","","2.7","","12.0","","-9.5","","72.8","","3.6","E","76.4","E","0","",,"",,""
