"Station Name","STANDARD AGCM"
"Province","ALBERTA"
"Latitude","51.23"
"Longitude","-112.98"
"Elevation","901.00"
"Climate Identifier","3036086"
"WMO Identifier","71440"
"TC Identifier","PSD"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-09","2007","09","17.9","","4.1","","11.0","","26.8","","-2.9","","","","","","30.4","","0","",,"",,""
"2007-10","2007","10","14.2","E","0.3","E","7.2","E","25.1","E","-7.0","E","","","","","3.3","I","","",,"",,""
"2007-11","2007","11","3.9","E","-7.4","E","-1.8","E","15.4","E","-18.9","E","","","","","4.8","I","","",,"",,""
