"Station Name","SHERBROOKE A"
"Province","QUEBEC"
"Latitude","45.43"
"Longitude","-71.68"
"Elevation","241.40"
"Climate Identifier","7028126"
"WMO Identifier",""
"TC Identifier","GSC"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2005-01","2005","01","-6.2","","-19.1","","-12.7","","13.5","S","-31.8","","","","","","45.0","","","",,"",,""
"2005-02","2005","02","-1.3","","-14.9","","-8.1","","11.4","","-25.5","","","","","","42.0","","","",,"",,""
"2005-03","2005","03","0.7","","-11.3","","-5.3","","13.4","","-21.9","","","","","","62.5","I","","",,"",,""
"2005-04","2005","04","11.3","","-1.3","","5.0","","21.6","","-8.2","","","","","","118.5","","","",,"",,""
"2005-05","2005","05","14.7","","4.1","","9.4","","26.3","","-3.5","","","","","","57.0","","","",,"",,""
"2005-06","2005","06","25.3","E","11.8","E","18.6","E","31.8","","3.2","","","","","","94.5","E","","",,"",,""
"2005-07","2005","07","26.2","","12.2","","19.2","","31.3","","6.8","","","","","","110.0","","","",,"",,""
"2005-08","2005","08","25.5","","11.6","","18.6","","30.0","","3.1","","","","","","124.5","","","",,"",,""
"2005-09","2005","09","21.5","","7.4","","14.5","","29.7","","0.1","","","","","","102.5","","","",,"",,""
"2005-10","2005","10","13.3","","3.3","","8.3","","27.0","","-6.3","","","","","","208.5","","","",,"",,""
"2005-11","2005","11","6.8","","-4.1","","1.4","","18.9","","-16.0","","","","","","115.0","","","",,"",,""
"2005-12","2005","12","-3.4","","-13.0","","-8.2","","3.3","","-27.6","","","","","","91.0","","","",,"",,""
