"Station Name","CRAIGMYLE AGCM"
"Province","ALBERTA"
"Latitude","51.78"
"Longitude","-112.25"
"Elevation","845.00"
"Climate Identifier","3021912"
"WMO Identifier","71013"
"TC Identifier","PCM"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-08","2007","08","21.2","E","7.9","E","14.6","E","31.2","E","1.5","E","","","","","47.6","I","0","",,"",,""
"2007-09","2007","09","17.1","","2.5","","9.8","","26.4","","-5.7","","","","","","20.7","","0","",,"",,""
"2007-10","2007","10","13.6","","-1.5","","6.0","","24.6","","-9.0","","","","","","4.8","","","",,"",,""
"2007-11","2007","11","2.7","","-9.5","","-3.4","","12.8","","-24.2","","","","","","4.8","","","",,"",,""
