"Station Name","SPONDIN AGCM"
"Province","ALBERTA"
"Latitude","51.82"
"Longitude","-111.68"
"Elevation","804.00"
"Climate Identifier","3016070"
"WMO Identifier","71413"
"TC Identifier","PSP"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-09","2007","09","17.5","","2.0","","9.8","","26.7","","-6.4","","","","","","17.1","","0","",,"",,""
"2007-10","2007","10","13.5","","-3.0","","5.3","","25.3","","-10.5","","","","","","2.7","","","",,"",,""
"2007-11","2007","11","2.4","E","-10.6","E","-4.4","E","10.8","E","-24.3","E","","","","","2.8","I","","",,"",,""
