"Station Name","HUDSON BAY(AUT)"
"Province","SASKATCHEWAN"
"Latitude","52.82"
"Longitude","-102.32"
"Elevation","358.10"
"Climate Identifier","4083324"
"WMO Identifier","71868"
"TC Identifier","ZHB"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-07","2007","07","30.5","I","","","","","32.1","I","","","","","","","21.3","I","","",,"",,""
"2007-08","2007","08","20.9","","8.2","","14.6","","29.3","","0.9","","","","","","21.9","","0","",,"",,""
"2007-09","2007","09","16.0","","2.3","","9.2","","28.8","","-5.3","","","","","","40.8","","2","",,"",,""
"2007-10","2007","10","10.7","","-0.7","E","5.0","E","17.7","","-6.4","","","","","","9.6","","0","",,"",,""
"2007-11","2007","11","-3.8","","-12.0","","-7.9","","7.2","","-29.9","","","","","","30.8","","21","",,"",,""
