"Station Name","ERIEAU BAY"
"Province","ONTARIO"
"Latitude","42.26"
"Longitude","-81.92"
"Elevation","176.00"
"Climate Identifier","6132336"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-05","2006","05","","","","","","","","","","","74.6","I","0.0","","74.6","I","0","",,"",,""
"2006-06","2006","06","","","","","","","","","","","69.4","","0.0","","69.4","","0","",,"",,""
"2006-07","2006","07","","","","","","","","","","","115.1","","0.0","","115.1","","0","",,"",,""
"2006-08","2006","08","","","","","","","","","","","46.6","","0.0","","46.6","","0","",,"",,""
"2006-09","2006","09","","","","","","","","","","","131.7","","0.0","","131.7","","0","",,"",,""
"2006-10","2006","10","","","","","","","","","","","136.4","","0.0","","136.4","","0","",,"",,""
"2006-11","2006","11","","","","","","","","","","","69.9","","0.0","","69.9","","0","",,"",,""
"2006-12","2006","12","","","","","","","","","","","17.6","","2.8","","20.4","","","M",,"",,""
