"Station Name","HALDANE RIVER"
"Province","NORTHWEST TERRITORIES"
"Latitude","67.07"
"Longitude","-121.10"
"Elevation","242.50"
"Climate Identifier","2202349"
"WMO Identifier",""
"TC Identifier","WNW"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1998-07","1998","07","19.8","E","9.5","E","14.7","E","25.9","B","2.6","E","1.8","","0.0","","1.8","","0","",,"",,""
"1998-08","1998","08","24.2","E","8.4","E","16.3","E","30.7","E","2.5","E","18.6","","0.0","","18.6","","0","",,"",,""
