"Station Name","CFB SHILO CCOC"
"Province","MANITOBA"
"Latitude","49.79"
"Longitude","-99.63"
"Elevation","372.00"
"Climate Identifier","5012673"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2004-11","2004","11","","","","","","","","","","","4.8","","1.4","","6.2","","1","",,"",,""
"2004-12","2004","12","","","","","","","","","","","0.0","","21.0","","21.0","","6","",,"",,""
"2005-01","2005","01","","","","","","","","","","","0.0","","31.0","","31.0","","37","",,"",,""
"2005-02","2005","02","","","","","","","","","","","0.0","","3.5","","3.5","","26","",,"",,""
"2005-03","2005","03","","","","","","","","","","","1.0","","25.5","","26.5","","10","",,"",,""
"2005-04","2005","04","","","","","","","","","","","11.4","","0.0","","11.4","","0","",,"",,""
