"Station Name","MILK RIVER RIDGE RESERVOIR"
"Province","ALBERTA"
"Latitude","49.28"
"Longitude","-112.54"
"Elevation","1305.00"
"Climate Identifier","3044545"
"WMO Identifier","71015"
"TC Identifier","PRR"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-03","2007","03","8.5","E","-2.9","E","2.8","E","17.6","E","-11.4","E","0.7","","4.9","","5.6","","","",,"",,""
"2007-04","2007","04","8.4","E","-2.0","E","3.2","E","19.0","E","-11.4","E","2.8","I","13.0","I","15.8","I","","",,"",,""
"2007-05","2007","05","15.7","","3.8","","9.8","","25.2","","-1.2","","82.2","","0.5","E","82.7","E","0","",,"",,""
"2007-06","2007","06","19.9","","8.0","","14.0","","26.6","","3.7","","36.0","","0.0","","36.0","","0","",,"",,""
"2007-07","2007","07","29.2","","14.4","","21.8","","36.6","","7.3","","4.5","","0.0","","4.5","","0","",,"",,""
"2007-08","2007","08","24.9","E","9.2","E","17.0","E","32.0","E","2.2","E","20.0","","0.0","","20.0","","0","",,"",,""
"2007-09","2007","09","18.2","E","4.7","E","11.5","E","29.6","E","-1.2","E","55.4","I","0.0","I","55.4","I","0","",,"",,""
"2007-10","2007","10","12.2","I","1.5","I","6.9","I","18.7","I","-3.3","I","0.0","I","13.8","I","13.8","I","","",,"",,""
