"Station Name","HAWKESBURY"
"Province","NOVA SCOTIA"
"Latitude","45.62"
"Longitude","-61.37"
"Elevation","45.70"
"Climate Identifier","8204493"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-01","2006","01","1.7","I","-4.4","I","-1.3","I","10.0","I","-9.0","I","0.0","","58.2","","58.2","","10","",,"",,""
"2006-02","2006","02","0.4","","-7.1","","-3.4","","10.5","","-17.0","S","38.4","","41.2","I","79.6","I","5","",,"",,""
