"Station Name","THORNBURY 3"
"Province","ONTARIO"
"Latitude","44.55"
"Longitude","-80.47"
"Elevation","212.00"
"Climate Identifier","6118240"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-05","2006","05","","","","","","","","","","","2.4","I","0.0","","2.4","I","0","",,"",,""
"2006-06","2006","06","","","","","","","","","","","49.1","","0.0","","49.1","","0","",,"",,""
"2006-07","2006","07","","","","","","","","","","","84.3","","0.0","","84.3","","0","",,"",,""
"2006-08","2006","08","","","","","","","","","","","45.6","","0.0","","45.6","","0","",,"",,""
"2006-09","2006","09","","","","","","","","","","","91.6","","0.0","","91.6","","0","",,"",,""
"2006-10","2006","10","","","","","","","","","","","124.8","","0.8","","125.6","","0","",,"",,""
"2006-11","2006","11","","","","","","","","","","","75.5","","23.0","","98.5","","0","",,"",,""
"2006-12","2006","12","","","","","","","","","","","41.0","","32.0","","73.0","","0","",,"",,""
