"Station Name","FERINTOSH AGCM"
"Province","ALBERTA"
"Latitude","52.74"
"Longitude","-112.86"
"Elevation","795.00"
"Climate Identifier","3012590"
"WMO Identifier","71673"
"TC Identifier","PFA"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-09","2007","09","16.8","","1.0","","9.0","","25.4","","-8.2","","","","","","35.0","I","0","",,"",,""
"2007-10","2007","10","12.9","","-3.1","","4.9","","24.0","","-8.9","","","","","","4.3","","","",,"",,""
"2007-11","2007","11","0.9","","-9.8","","-4.4","","8.1","","-27.9","","","","","","6.5","","","",,"",,""
