"Station Name","MORPETH"
"Province","ONTARIO"
"Latitude","42.38"
"Longitude","-81.87"
"Elevation","198.00"
"Climate Identifier","6135125"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-05","2006","05","","","","","","","","","","","52.6","I","0.0","","52.6","I","0","",,"",,""
"2006-06","2006","06","","","","","","","","","","","48.8","","0.0","","48.8","","0","",,"",,""
"2006-07","2006","07","","","","","","","","","","","112.0","","0.0","","112.0","","0","",,"",,""
"2006-08","2006","08","","","","","","","","","","","45.4","","0.0","","45.4","","0","",,"",,""
"2006-09","2006","09","","","","","","","","","","","97.4","I","0.0","","97.4","I","0","",,"",,""
"2006-10","2006","10","","","","","","","","","","","128.8","","0.0","","128.8","","0","",,"",,""
"2006-11","2006","11","","","","","","","","","","","72.6","","0.0","","72.6","","0","",,"",,""
"2006-12","2006","12","","","","","","","","","","","80.6","","6.4","","87.0","","0","",,"",,""
