"Station Name","BALACLAVA"
"Province","ONTARIO"
"Latitude","44.67"
"Longitude","-80.78"
"Elevation","222.00"
"Climate Identifier","6110470"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-05","2006","05","","","","","","","","","","","2.0","I","0.0","","2.0","I","0","",,"",,""
"2006-06","2006","06","","","","","","","","","","","23.5","","0.0","","23.5","","0","",,"",,""
"2006-07","2006","07","","","","","","","","","","","125.3","","0.0","","125.3","","0","",,"",,""
"2006-08","2006","08","","","","","","","","","","","52.0","","0.0","","52.0","","0","",,"",,""
"2006-09","2006","09","","","","","","","","","","","89.4","","0.0","","89.4","","0","",,"",,""
"2006-10","2006","10","","","","","","","","","","","163.0","","1.2","","164.2","","0","",,"",,""
"2006-11","2006","11","","","","","","","","","","","84.8","","38.2","","123.0","","0","",,"",,""
"2006-12","2006","12","","","","","","","","","","","49.2","","55.7","","104.9","","0","",,"",,""
