"Station Name","SPLIT LAKE"
"Province","MANITOBA"
"Latitude","56.25"
"Longitude","-96.10"
"Elevation","60.00"
"Climate Identifier","5062751"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2000-04","2000","04","2.3","","-11.1","","-4.4","","19.9","","-29.7","","15.8","","18.3","E","34.1","E","0","",,"",,""
"2000-05","2000","05","10.5","","0.6","","5.6","","20.8","","-9.8","","26.8","","0.0","","26.8","","0","",,"",,""
"2000-06","2000","06","16.8","","4.8","","10.8","","27.1","","-3.7","","36.0","","0.0","","36.0","","0","",,"",,""
"2000-07","2000","07","22.8","","9.4","","16.1","","33.1","","1.0","","60.8","","0.0","","60.8","","0","",,"",,""
"2000-08","2000","08","22.0","I","9.5","I","15.8","I","27.5","I","2.5","I","37.3","","0.0","","37.3","","0","",,"",,""
"2000-09","2000","09","10.9","","2.7","","6.8","","20.5","","-2.0","","69.6","","0.0","","69.6","","0","",,"",,""
