"Station Name","REGINA BUSCH"
"Province","SASKATCHEWAN"
"Latitude","50.43"
"Longitude","-104.67"
"Elevation","577.30"
"Climate Identifier","4016570"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2003-11","2003","11","","","","","","","","","","","0.0","","9.2","","9.2","","9","",,"",,""
"2003-12","2003","12","","","","","","","","","","","0.0","","6.0","","6.0","","13","",,"",,""
"2004-01","2004","01","","","","","","","","","","","0.0","","6.0","","6.0","","21","",,"",,""
"2004-02","2004","02","","","","","","","","","","","0.0","","12.0","","12.0","","23","",,"",,""
"2004-03","2004","03","","","","","","","","","","","0.0","","14.0","","14.0","","0","T",,"",,""
"2004-04","2004","04","","","","","","","","","","","0.0","","0.0","T","0.0","T","0","",,"",,""
"2004-05","2004","05","","","","","","","","","","","0.0","I","12.0","","12.0","I","0","",,"",,""
