"Station Name","GIMLI HARBOUR CS"
"Province","MANITOBA"
"Latitude","50.63"
"Longitude","-96.98"
"Elevation","217.00"
"Climate Identifier","5031041"
"WMO Identifier","71577"
"TC Identifier","XGH"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-01","2006","01","-4.0","","-12.2","","-8.1","","3.5","","-27.2","","0.0","","0.0","","0.0","","","",,"",,""
"2006-02","2006","02","-10.6","","-20.0","","-15.3","","-2.6","","-32.6","","0.0","","0.0","","0.0","","","",,"",,""
"2006-03","2006","03","-0.4","","-10.3","","-5.4","","6.5","","-21.7","","0.0","","0.0","","0.0","","","",,"",,""
"2006-04","2006","04","10.6","","0.7","","5.7","","20.4","","-8.1","","0.0","","0.0","","0.0","","","",,"",,""
"2006-05","2006","05","14.9","","7.6","","11.3","","25.6","","-1.0","","0.0","","0.0","","0.0","","0","",,"",,""
"2006-06","2006","06","22.2","","13.6","","17.9","","27.3","","8.9","","0.0","","0.0","","0.0","","0","",,"",,""
