"Station Name","THORSBY AGCM"
"Province","ALBERTA"
"Latitude","53.22"
"Longitude","-113.89"
"Elevation","754.00"
"Climate Identifier","3016441"
"WMO Identifier","71504"
"TC Identifier","PTH"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-09","2007","09","16.5","E","2.6","E","9.6","E","24.1","B","-4.8","E","","","","","26.5","I","0","",,"",,""
"2007-10","2007","10","12.8","","-1.6","","5.6","","22.6","","-6.4","","","","","","1.5","I","","",,"",,""
"2007-11","2007","11","1.9","E","-6.7","E","-2.4","E","9.1","E","-25.1","E","","","","","13.1","I","","",,"",,""
