"Station Name","IRON BRIDGE"
"Province","ONTARIO"
"Latitude","46.28"
"Longitude","-83.25"
"Elevation","190.00"
"Climate Identifier","6053805"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-06","2006","06","","","","","","","","","","","48.9","","0.0","","48.9","","0","",,"",,""
"2006-07","2006","07","","","","","","","","","","","127.5","","0.0","","127.5","","0","",,"",,""
"2006-08","2006","08","","","","","","","","","","","67.7","E","0.0","","67.7","E","0","",,"",,""
"2006-09","2006","09","","","","","","","","","","","99.7","","0.0","","99.7","","0","",,"",,""
"2006-10","2006","10","","","","","","","","","","","81.6","E","15.0","E","96.6","E","0","",,"",,""
"2006-11","2006","11","","","","","","","","","","","33.3","","7.6","","40.9","","0","",,"",,""
"2006-12","2006","12","","","","","","","","","","","108.5","","52.1","","160.6","","1","",,"",,""
