"Station Name","SAWYER BROOK"
"Province","QUEBEC"
"Latitude","45.33"
"Longitude","-71.62"
"Elevation",""
"Climate Identifier","702GGR7"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1973-01","1973","01","","","","","","","","","","","13.5","","42.4","","55.9","","","M",,"",,""
"1973-02","1973","02","","","","","","","","","","","19.6","","44.7","","64.3","","","M",,"",,""
"1973-03","1973","03","","","","","","","","","","","20.8","","18.0","","38.9","","","M",,"",,""
"1973-04","1973","04","","","","","","","","","","","8.9","","","M","","M","0","",,"",,""
"1973-05","1973","05","","","","","","","","","","","56.4","","0.0","","56.4","","0","",,"",,""
"1973-06","1973","06","","","","","","","","","","","","M","0.0","","","M","0","",,"",,""
"1973-07","1973","07","","","","","","","","","","","84.8","","0.0","","84.8","","0","",,"",,""
"1973-08","1973","08","","","","","","","","","","","82.3","","0.0","","82.3","","0","",,"",,""
"1973-09","1973","09","","","","","","","","","","","93.0","","0.0","","93.0","","0","",,"",,""
"1973-10","1973","10","","","","","","","","","","","63.2","E","0.0","","63.2","E","0","",,"",,""
"1973-11","1973","11","","","","","","","","","","","","M","","M","","M","","M",,"",,""
"1973-12","1973","12","","","","","","","","","","","20.8","","39.1","","59.9","","","M",,"",,""
