"Station Name","PELLY ISLAND"
"Province","NORTHWEST TERRITORIES"
"Latitude","69.63"
"Longitude","-135.44"
"Elevation","17.00"
"Climate Identifier","2203095"
"WMO Identifier","71502"
"TC Identifier","WND"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2006-03","2006","03","-22.9","","-28.3","","-25.6","","-14.6","","-37.3","","0.0","","0.0","","0.0","","","",,"",,""
"2006-04","2006","04","-14.6","","-21.8","","-18.2","","-1.5","","-32.1","","0.0","","0.0","","0.0","","","",,"",,""
"2006-05","2006","05","-0.1","I","-7.0","I","-3.4","I","3.1","I","-16.4","I","0.0","","0.0","","0.0","","","",,"",,""
"2006-06","2006","06","8.8","E","0.6","E","4.8","E","22.1","E","-5.3","E","0.0","","0.0","","0.0","","0","",,"",,""
"2006-07","2006","07","12.8","E","5.9","E","9.4","E","25.5","E","0.7","E","0.0","","0.0","","0.0","","0","",,"",,""
