"Station Name","BULLHORN COULEE RESERVOIR"
"Province","ALBERTA"
"Latitude","49.30"
"Longitude","-113.36"
"Elevation","1115.00"
"Climate Identifier","3050960"
"WMO Identifier","71839"
"TC Identifier","PBR"

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-03","2007","03","9.9","E","-2.2","E","3.9","E","18.6","B","-17.9","E","2.4","","4.0","","6.4","","","",,"",,""
"2007-04","2007","04","10.1","I","-1.1","I","4.5","I","20.3","I","-11.3","I","26.0","","11.3","","37.3","","","",,"",,""
"2007-05","2007","05","17.6","E","3.7","E","10.6","E","25.4","B","-1.0","E","70.4","I","4.5","I","74.9","I","0","",,"",,""
"2007-06","2007","06","21.5","E","7.5","E","14.5","E","27.3","B","1.0","E","30.9","I","0.0","I","30.9","I","0","",,"",,""
"2007-07","2007","07","30.3","","12.5","","21.4","","37.8","","4.7","","1.1","","0.0","","1.1","","0","",,"",,""
"2007-08","2007","08","25.9","E","8.1","E","17.0","E","32.3","E","0.3","E","8.9","","0.0","","8.9","","0","",,"",,""
"2007-09","2007","09","19.5","E","3.9","E","11.7","E","30.2","E","-2.6","E","37.8","I","0.0","I","37.8","I","0","",,"",,""
"2007-10","2007","10","13.8","I","-0.2","I","6.8","I","21.9","I","-4.1","I","4.0","I","2.2","I","6.2","I","","",,"",,""
