"Station Name","MACKLIN"
"Province","SASKATCHEWAN"
"Latitude","52.33"
"Longitude","-109.95"
"Elevation","670.70"
"Climate Identifier","4044850"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2007-05","2007","05","17.0","I","4.7","I","11.1","I","27.5","I","-1.0","I","17.4","","0.0","","17.4","","0","",,"",,""
"2007-06","2007","06","21.9","","9.0","E","15.5","E","29.0","","2.0","","148.2","","0.0","","148.2","","0","",,"",,""
"2007-07","2007","07","28.5","","13.8","","21.2","","36.0","S","6.0","","19.6","","0.0","","19.6","","0","",,"",,""
"2007-08","2007","08","21.8","E","9.0","","15.4","E","34.5","","3.0","","47.2","","0.0","","47.2","","0","",,"",,""
"2007-09","2007","09","17.5","","3.4","","10.5","","27.5","","-5.0","","12.4","E","0.0","","12.4","E","0","",,"",,""
"2007-10","2007","10","13.0","","-1.2","","5.9","","23.7","","-10.0","","4.2","","0.2","","4.4","","0","",,"",,""
"2007-11","2007","11","0.2","","-8.8","","-4.3","","10.0","","-24.5","","8.6","","10.2","","18.8","","10","",,"",,""
