"Station Name","DE BEAUJEU"
"Province","QUEBEC"
"Latitude","45.33"
"Longitude","-74.33"
"Elevation","61.00"
"Climate Identifier","701J9NM"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"B","More than one occurrence and estimated"
"E","Estimated"
"M","Missing"
"S","More than one occurrence"
"T","Trace"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"

"Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1973-01","1973","01","-5.2","","-13.2","","-9.2","","6.7","","-30.6","","16.8","","","M","","M","30","",,"",,""
"1973-02","1973","02","-6.0","","-16.2","","-11.1","","3.9","","-29.4","","34.3","","25.4","","59.7","","30","",,"",,""
"1973-03","1973","03","3.6","","-2.7","","0.5","","12.8","","-10.6","","57.4","","18.3","","75.7","","0","",,"",,""
"1973-04","1973","04","10.6","","0.1","","5.4","","23.3","","-10.0","S","59.7","","10.7","","70.4","","0","",,"",,""
"1973-05","1973","05","16.3","","6.3","","11.3","","23.9","","-0.6","","141.7","","0.0","","141.7","","0","",,"",,""
"1973-06","1973","06","24.1","","12.2","","18.2","","29.4","S","2.2","S","96.3","","0.0","","96.3","","0","",,"",,""
"1973-07","1973","07","26.6","","14.7","","20.7","","32.2","","7.2","","113.0","","0.0","","113.0","","0","",,"",,""
"1973-08","1973","08","26.3","","15.6","","21.0","","31.7","","4.4","","84.1","","0.0","","84.1","","0","",,"",,""
"1973-09","1973","09","19.1","","8.2","","13.7","","31.7","","-1.7","S","94.2","","0.0","","94.2","","0","",,"",,""
"1973-10","1973","10","13.9","","3.5","","8.7","","22.8","","-3.9","","61.7","","0.0","","61.7","","0","",,"",,""
"1973-11","1973","11","3.9","","-3.0","","0.5","","11.1","S","-10.0","","53.3","E","2.3","","55.6","E","","M",,"",,""
"1973-12","1973","12","-0.5","","-8.8","","-4.7","","8.9","","-35.6","","","M","","M","","M","","M",,"",,""
